"code","province","name"
"Z100","EE","ALBANIA"
"Z101","EE","ANDORRA"
"Z102","EE","AUSTRIA"
"Z103","EE","BELGIO"
"Z104","EE","BULGARIA"
"Z105","EE","CECOSLOVACCHIA"
"Z106","EE","CITTA DEL VATICANO / VATICANO"
"Z107","EE","DANIMARCA"
"Z108","EE","FAER OER"
"Z109","EE","FINLANDIA"
"Z110","EE","FRANCIA"
"Z111","EE","GERMANIA REP. DEMOCRATICA"
"Z112","EE","GERMANIA REP. FEDERALE / GERMANIA"
"Z113","EE","GIBILTERRA"
"Z114","EE","GRAN BRETAGNA"
"Z115","EE","GRECIA"
"Z116","EE","IRLANDA"
"Z117","EE","ISLANDA"
"Z118","EE","IUGOSLAVIA"
"Z119","EE","LIECHTENSTEIN"
"Z120","EE","LUSSEMBURGO"
"Z121","EE","MALTA"
"Z122","EE","MAN"
"Z123","EE","MONACO"
"Z124","EE","NORMANNE"
"Z125","EE","NORVEGIA"
"Z126","EE","PAESI BASSI"
"Z127","EE","POLONIA"
"Z128","EE","PORTOGALLO"
"Z129","EE","ROMANIA"
"Z130","EE","SAN MARINO"
"Z131","EE","SPAGNA"
"Z132","EE","SVEZIA"
"Z133","EE","SVIZZERA"
"Z134","EE","UNGHERIA"
"Z135","EE","URSS"
"Z136","EE","GEORGIA"
"Z137","EE","ARMENIA"
"Z138","EE","UCRAINA"
"Z139","EE","BIELORUSSIA"
"Z140","EE","MOLDAVIA"
"Z141","EE","AZERBAIDJAN"
"Z142","EE","KIRGHIZISTAN"
"Z143","EE","UZBEKISTAN"
"Z144","EE","ESTONIA"
"Z145","EE","LETTONIA"
"Z146","EE","LITUANIA"
"Z147","EE","TAGIKISTAN"
"Z148","EE","MACEDONIA"
"Z149","EE","CROAZIA"
"Z150","EE","SLOVENIA"
"Z151","EE","TURKEMENISTAN"
"Z152","EE","KAZAKISTAN"
"Z153","EE","BOSNIA ED ERZEGOVINA / BOSNIA ERZEGOVINA"
"Z154","EE","RUSSIA / FEDERAZIONE RUSSA"
"Z155","EE","REPUBBLICA SLOVACCA"
"Z156","EE","REPUBBLICA CECA"
"Z200","EE","AFGHANISTAN"
"Z201","EE","ARABIA MERIDIONALE"
"Z202","EE","PROTETTORATO DELLA ARABIA MERIDIONALE"
"Z203","EE","ARABIA SAUDITA"
"Z204","EE","BAHREIN"
"Z205","EE","BHUTAN"
"Z206","EE","BIRMANIA"
"Z207","EE","BRUNEI"
"Z208","EE","CAMBOGIA"
"Z209","EE","SRI LANKA"
"Z210","EE","CINA REPUBBLICA POPOLARE / CINA / CHINA"
"Z211","EE","CIPRO"
"Z212","EE","COCOS"
"Z213","EE","REPUBBLICA DI COREA"
"Z214","EE","COREA REPUBBLICA POPOLARE"
"Z215","EE","EMIRATI ARABI UNITI"
"Z216","EE","FILIPPINE"
"Z217","EE","CINA REPUBBLICA NAZIONALE"
"Z218","EE","TERRITORIO DI GAZA"
"Z219","EE","GIAPPONE"
"Z220","EE","GIORDANIA"
"Z221","EE","HONG KONG"
"Z222","EE","INDIA"
"Z223","EE","INDONESIA"
"Z224","EE","IRAN"
"Z225","EE","IRAQ"
"Z226","EE","ISRAELE"
"Z227","EE","KUWAIT"
"Z228","EE","LAOS"
"Z229","EE","LIBANO"
"Z230","EE","MALESIA"
"Z231","EE","MACAO"
"Z232","EE","MALDIVE"
"Z233","EE","MONGOLIA REP. POPOLARE"
"Z234","EE","NEPAL"
"Z235","EE","OMAN"
"Z236","EE","PAKISTAN"
"Z237","EE","QATAR"
